Client name,Concept,Location,City,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9,visit10,visit11,visit12,visit13,visit14,visit15,visit16,visit17,visit18,visit19,visit20,visit21,visit22,visit23,visit24,visit25,visit26,visit27,visit28,visit29,visit30
شركة مجموعة شلهوب العربية المحدودة,Dyson,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة بي سي دي  العربية السعودية شركة شخص واحد ,GIVENCHY,Red Sea Mall,جدة,4/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,GUESS ,Red Sea Mall,جدة,12/26/2024,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Lacoste,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكسيتان العربية للتجارة - شركة شخص واحد,L'Occitane,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Micheal Kors,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Molton Brown,Red Sea Mall,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة بي سي دي  العربية السعودية شركة شخص واحد ,MUFE,Red Sea Mall,جدة,4/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Nars,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Oliver peebles,Red Sea Mall,جدة,9/26/2024,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
